,user_id,comments,CPD,CB,EWC,Exec,FWE,SP,RE,Sup,SW,TEPE,VMG,OTH
23,194441-314938,"""More training in mental health and addictions issues so we as workers have the skills we need to provide empathetic and client centered service to those we serve at Income Assistance. We are often the only people outside of the addiction cycle these clients see in a month and we could offer much more help with very little effort or expense on our side.""",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,192038-416908,"""When staff are ambitious and motivated to progress in their career, do your best to match them up with more senior staff that could pass down some of their skills and knowledge. Not doing so results in a level of apathy and discouragement which is very hard to overcome. """,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,180032-200920,"Improving the onboarding experience, including a stronger focus on probation...setting clear expectations and providing new employees with the support they require to be successful in their role.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,194008-616958,"""The ministry needs to hire more employees, so offices won't be understaffed. Currently, lack of staff causes high workload (sometimes overwhelming), frequent change of work assignment, more stress at work and difficulties to balance work-life (as it directly affects vacation planning).""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
27,191066-813262,"""Computer speeds are slow, the network speed is so slow and can be improved.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
28,195009-247992,"""I would like my organization to remember it serves the public, the ministries, and Government, not the currently elected party…""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
29,188097-474240,"Understanding that when you change the work for one unit, it has a ripple effect for the others and so the other units need to be considered. Usually feels like one work unit is at the bottom of the pile and not as valued.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,193191-238266,"""Staffing. My work unit is understaffed and as a result, we are all having to work many extra hours in an irregular environment and it has become very taxing. I have a great Supervisor but he/she is often filling in for missing staff so he/she is unable to always be available and is not always able to keep up with Supervisory duties as a result.  Being able to deliver the best service and to work with the highest standards are very important to me.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
31,176195-160024,"""The people I work with are awesome and promote a positive work environment; however, space issues are a significant problem - workstations are small, background noise impacts conversations with clients, particularly when discussing information of a confidential nature...”",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
32,194962-858428,"""The administrative workload is too large, having employees to help offload some of that work so our level can focus on other aspects would be beneficial for all.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
33,174188-879202,"""...Increased attention to strategic HR matters to avoid continuity gaps and unmanageable workloads.  Increased succession planning to avoid loss of corporate memory."" ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
34,192163-071906,"""Executive could spend time interacting with staff and their work so that decision makers in government are not so removed from the work 'on the ground' and to understand the impact of their decisions…""",-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
35,191553-361116,Updates to technology need to happen in a timely manner. These laptops are heavy and outdated. We need more input and choice on the tools we use.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
36,194680-451784,"Greater emphasis on medium and long term goals (even some short-term ones) instead of objectives centred on political promises/platforms. Dedicate more resources in improving inter-departmental and inter-governmental communications, creating more innovative and collaborative policy-making.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
37,194137-341216,Training for the new Employee needs to be improved; struggling with learning. First few months very hard to find out things. Some training sessions would be appreciative.,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
38,192898-387188,"""The Technology we have to use in our workplace is basically obsolete.   I understand budgets, but skimping on the quality of our technology (Multi Function Devices etc) only create downtime due to service and repairs of the substandard equipment. Sure it looks cheap on the books, but the overall cost to the ministry, as a result of 'down time' makes these cheap technology decisions cost more in the long run, and severely impact efficiency. """,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
39,193647-673596,"""It would be nice if there was more opportunities to enter into a career path set of jobs (meaning start at an 18 and clearly see a way to advance through  21s, 24s,  27s, and 30s)""",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,172943-956926,"My organization needs to include quality in the analysis of tools, processes and decisions. At the moment cost is the sole defining factor and is leading to substandard work.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
41,187754-571264,"""The organization needs to determine what its role is. There is little leadership on strategic direction.""",-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
42,176331-344592,"""Stop cutting the office cleaning budgets!  The quality of cleanliness throughout the District and Regional offices I have visited has dropped noticeably.  Office spaces, common areas and washrooms are definitely not as clean as they should be!  The standard of clean has been reduced creating an environment for colds and the flu, germs to flourish.  This translates to lost time as a result.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
43,193091-270112,"""The office space is just not functional or inspiring lay-out wise. It is noisy and too crowded. The desk space and ergonomics of the chairs are not safe or conducive to a healthy work environment…""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
44,193185-270018,"""Increase pay so that it is competitive with industry and the private sector.""",-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
45,183972-194094,"Stabilize software and web applications.  Stop changing the user interface of work-place tools such as Employee Self Service, Time On Line, the Intranet and Ministry web format and appearance. Fix poorly designed software, especially IPS, which prevents administration of the Ministry's business due to its [many] flaws.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
46,194927-184582,"The one thing that our organization should focus on to improve the work environment would be to focus on hiring more staff. The workers are being drained with their high and complex caseloads. I have noted that most MCFD workers are passionate and driven workers. However, they are limited in their work due to high caseloads. In order to minimize the stress the organization should make more attempts to hire new staff within higher volume service delivery areas...",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
47,188161-497264,"""Since we are all working in very closer quarters, some groups tend to be noisier than others which can be very distracting when trying to focus.  Provide tools (i.e. noise cancelling headphones) to help alleviate tensions that build when one group likes to discuss everything in the open versus a group that tends to keep their heads down and work quietly.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
48,180874-673382,"Understanding from the Executive around work/life balance - hire more staff perhaps so that work in evenings and weekends is less frequent, particularly when not compensated for it.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
49,173658-790266,"Timely, open communications are required. Even an email saying we don't have the all the answers but this is what we're working towards to give people an idea of what is coming so there are no unpleasant surprises.",-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
50,194851-089420,"Executive team demonstrates great leadership and management style, cares about their people, shows intention and commitment to change workplace culture. However, this does not translate through middle management. Old fashioned management style is out of touch in this new era. Managing and leading as a coach is needed, instead of using authority to control. Open conversations and a safe environment to understand staff's needs and to demonstrate they care about staff's long term career.",-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
51,179869-837446,"""I work in the field, my environment is unpredictable and potentially dangerous. Personal Safety training would be beneficial.""",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
52,194320-322274,"""Hire more appropriate employees for the work. Many people are coming from a different educational background than what is needed for the work.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
53,193469-168724,"""Pay is the biggest problem for the job we do. We are losing staff at an alarming late to police agencies and federal organizations. If the pay and benefits were competitive with federal organizations, I am confident we would be able to retain staff and improve morale of staff.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
54,189213-400974,Create more senior [classification] positions within the branch. My job has limited career advancement prospects.,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
55,190544-048994,The hiring process takes way too long to fill and often causes unnecessary stress to other employees who have to do more with less.  It would be better if the hiring process was started prior to incumbent leaving so that the new person starts within a week of the position being vacant.  ,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
56,175756-493796,"""Skill development for staff is extremely important along with coaching in career development.""",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
57,192353-377632,"""Transparency seems to have evaporated.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
58,188237-456784,Give us up-to-date equipment and software (not 2010 versions in 2018).,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
59,192616-930038,…99.9% of communication from the Ministry has no bearing or consequences for [my work unit]. [My work unit] has not been mentioned in any meaningful way in any communication. Our work has never once been recognized.,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
60,172785-120144,Job classifications and pay!  The workloads and responsibilities for included administrative positions are grossly inequitable.  ,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
61,173091-128496,"I make the same comment every time I complete this survey.  I find that the equipment we are provided with to do the job (e.g. computers, photocopiers, printers) are constantly breaking down.  The job is difficult to do when the equipment is frequently breaking down or not working.  The computer system is the biggest concern for me.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
62,173619-861012,"The government needs to provide proper computer and office equipment, such as photocopiers, to Crown offices, so that the people in those offices can carry out their duties. This includes sufficient scanners to comply with electronic file requirements, the lack of which is a serious impediment. The government does not provide this equipment, thereby incurring both labour costs and lower productivity, to the detriment of the people we serve. It is penny wise and pound foolish to do this. Private sector law firms sometimes, in my experience, make the same mistake, but I have never seen the same level of indifference to the day to day need for lawyers and staff to have the tools required for the job at their disposal, outside of government. ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
63,173861-710698,Allow for a graduated/gradual entry into retirement rather than an all or nothing approach.  This would allow employees to ease into retirement and allow the employer to better engage into succession planning and ease the effect of baby boomer retirement.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
64,174105-459372,Salary. Wages have been steadily declining against the cost of living. Even though I have received promotions have had to cut back in my personal life because my spending power has been steadily diminishing over my career.,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
65,174966-107862,"Update printers and computers - we are left with out of date equipment that affects our day to day work.  Printers are slow, computers are slow.  We get more work, but he equipment we have been provided is horrible.   Work spaces consist of old furniture, put together willy nilly.  ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
66,175552-895154,"Hire or promote appropriate people instead of by favouritism, seems to be done by who you know not what you know",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
67,176568-718092,"Fairness in the hiring process.  Competency interviews are very subjective to the people who are on the hiring panel.  I do not believe that the person who is leaving the position or the immediate supervisor should be on the panel.  I also believe that if there are current employees applying for the job, the interview panel should consist of no one who works in that current location.  Regardless of how competency interviews are slated to be fair, I do not believe that a supervisor/manager who has a pre-conception of an employee can avoid that opinion from coloring their views on how the employee did in the interview.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
68,178554-923898,"Deal with bullying, disrespect and incompetence.  The behaviour of one person in a position of influence has created a toxic environment resulting in many staff looking to leave, particularly experienced staff.  For the sake of the branch, we can't afford to let this continue.  ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
69,179174-129628,"Succession planning and management. While some good work has been started, I have not seen evidence that anyone is seriously going to fill vacancies using this work, especially at the Executive level. Nor have I seen evidence that supplemental training or supports will be provided to those who wish to move up in their career. We are having good conversations...now we need to put our money where our mouth is as well as show how this work is actually being used.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
70,180367-779228,"Improve opportunities for career development/advancement, for example, through in-house training, supporting applications for Pacific Leaders scholarships, approving requests for learning centre courses, providing in-house mentorship opportunities, etc. Perhaps creating another level for admin support so that [upper level admin staff] have an opportunity for advancement within the office but can remain working for this unit in a more responsible role. Our office is important to the province and it would be appreciated if we were given opportunities to help the public in more meaningful ways and could do so if positions with more responsibility were an option.",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
71,181553-561592,Improve our physical wok environment. We are working on desks from 1970s. Carpets haven't been changed (let alone washed) in decades. Building not wired or set up for todays tech. Building grounds are sketchy and can also be challenging in inclement weather. Building from 1970s and in desperate need of upgrading for the staff to work effectively! Public can't even access half the space via wheelchair because of this. Elevators break down all the time too. ,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
72,181779-948090,"Find proper physical space to accommodate the needs of all branch employees.  Do not force open-concept design on us.  For most of us it would severely inhibit our ability to do our work, since we need quiet for thinking and privacy for confidential information and conversations.    ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
73,183954-153708,"I would like the negative employees in my work group to be dealt with prompt action. It only takes one employee to destroy morale in our office. I am tired of how a few poison employees can break morale, and don't like coming to work.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
74,184434-597672,"The work load, stress and being under staffed every day for years leaves us exhausted with a feeling of hopelessness.  There is no balance of work and personal life.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
75,185762-125926,"I would like to see improvements in the personal work space.  Staff who wish to enhance their physical comfort should be able to.  An option to have a standing desk or a new and modern phone headset should be available to employees.  This would include a new, upgraded and more comfortable chair if necessary.  ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
76,186504-494592,Giving government employees pay raises would make the cost of living in Vancouver and Victoria easier places to live.  Every year that goes by the government salaries are not keeping pace with the cost of living.  On a global provincial scale the BC government contributes to a huge part of the working population. Alberta provincial government salaries are far higher than BC provincial government salaries and their cost of living is lower.,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
77,186647-189976,"Hire people who have the skills required to be a good supervisor or people manager even if they don't have extensive experience. To do this, hiring managers should do more testing for organizational fitness in competitions. Please stop hiring bad managers who may have many years of experience but are simply bad people managers. Recognize and support high functioning, strong performers regardless of what they work on. People tend to get recognition and promotions based on how visible their work is. If it's a high profile project, they are recognized, even if their work is average or below average. If it's not a high profile project or file, they do not get recognized even if they are high performers. ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
78,186857-435076,"Our office and equipment is very run down. Desks are old and not well designed. Chairs are old, broken and dirty. It is embarrassing to have visitors in a board room where a sign has been on the credenza that it is broken for several years and it is not replaced or fixed. Most of the chairs are broken. Computers are slow and are not maintained and updated regularly enough. ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
79,187391-050704,"""Our work unit is very short staffed. It's impossible to complete my duties with existing staff levels - this can make work very stressful. Although I enjoy my work, I'm doing the job of more than one and it's frustrating.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
80,187567-927872,"There is one major problem within my work unit. We are paid very poorly. we are losing valuable, experienced, hard working people to other high paying agencies. We are in dire need of a raise. this will alleviate most of our issues and attract more people to apply for our service.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
81,187615-809498,Be proactive in providing replacement staff when our coworkers are off on secondment or leave or retire.  The turn around is too long and the stress placed on the current staff is too great for too long.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
82,187646-735874,new hired management being more knowledgeable in various aspects of the job requirements,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
83,188206-937334,"""This comment is directed more at the branch/work unit level. The workload is excessive and unmanageable and has been for [several years]. Some staff are underutilized while others are continually being buried by the high volume of day-to-day work, government/ministry initiatives and branch projects currently in progress. There is no time available to properly plan/prioritize work, update procedure manuals, train staff properly, or take a few extra minutes to think about what it is you are trying to accomplish. Because of this, there is higher incidence of errors, backtracking, stress/frustration. I, personally, want to be proactive in my approach to prioritizing, rather than 'reacting', which is basically the normal culture in my unit.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
84,188488-937052,"Salary alignment amongst lawyers, paralegals and support staff needs to be fair.  Lawyers in our branch get continuous and significant increases in their salaries regardless of whether they over achieve or under achieve.  However, individuals in supporting roles do not and  remain under paid with stagnant wages.  It does not appear that our branch or Executive is passionate enough about it. In fact, the message that appears to be sent out is that there is nothing we can do, it's up to the PSA and the PSA does not agree that work skills of those that play a supporting role in a busy litigation branch are any different than those of other clerical staff in the public sector.  This is not true and our branch needs to make that distinction.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
85,188650-215390,"Hope we have a better benefit package within BC Public Service. It's been downgraded over the past years.  Our salaries are not catching up with the inflation/basic standard living expenses(Victoria). The minimum wage will be going up 34% over 5 years period, but our wages going up 1%/year roughly. Hope this can be considered as well.",-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
86,188670-426048,"Loosen the purse strings or advocate for an adequate budget to provide us the space, furniture and tools we need to do our jobs efficiently and without long-term injury. Doing so will have the added bonus of boosting morale since it will recognize that we all deserve well-lit, quiet office space; modern, fully functioning, mould-free furniture; and up-to-date technology that we can work with rather than work around.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
87,188719-257168,Retention!!! We are losing quality employees due to a lack of fair pay. Retention issues lead to so many of the other issues we are having within this organization. ,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
88,188723-326428,Sheriffs deserve competitive wages aligning with other law enforcement agencies. Sheriff wage should reflect the daily dangers of dealing with violent prisoners and having to make split second emergency decisions utilizing use of force tools.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
89,189897-714864,A pay increase is an absolute must. I'm embarrassed when people ask me about my pay. I can't believe I live paycheque to paycheque as a dedicated law enforcement officer,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
90,189903-683112,The current pay grid does not reflect the cost of living in British Columbia.  I am actively looking at private sector jobs that pay twice as much for my skill set and level of education.,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
91,189978-421854,"Demote, discipline and/or fire bullies.  Ineffective dealing with bullying, revictimizing the vulnerable and causing them to feel punished for coming forward.  Too much sweeping under the rug and allowing bullies to flourish and continue to act the way that they do, even with clear evidence of their deplorable behaviour.  ",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
