sort,original_column_name,new_column_name,survey_year,Question_ID,category,sub_category,engagement_calculation,subtheme_code,Label
16,BCPUBLICSERVICE10,BCPUBLICSERVICE,2010,,Exclude,Survey Info,,,BC Public Service 2010 (population of respondents who were in BC Public Service in 2010)
17,COMPLETED10,COMPLETED,2010,,Exclude,Survey Info,,,Completed Survey 2010 (population of respondents who completed the 2010 WES)
18,OVERALLSCOPE10,OVERALLSCOPE,2010,,Exclude,Survey Info,,,Overall Scope 2010 (population of 2010 respondents who completed the survey and were in the BC Public Service)
19,POPULATION11,POPULATION,2011,,Exclude,Survey Info,,,Population 2011 (overall population of 2011 respondents)
20,BCPUBLICSERVICE11,BCPUBLICSERVICE,2011,,Exclude,Survey Info,,,BC Public Service 2011 (population of respondents who were in BC Public Service in 2011)
21,COMPLETED11,COMPLETED,2011,,Exclude,Survey Info,,,Completed Survey 2011 (population of respondents who completed the 2011 WES)
22,OVERALLSCOPE11,OVERALLSCOPE,2011,,Exclude,Survey Info,,,Overall Scope 2011 (population of 2011 respondents who completed the survey and were in the BC Public Service)
23,POPULATION13,POPULATION,2013,,Exclude,Survey Info,,,Population 2013 (overall population of 2013) [description updated for accuracy] 1 = surveyed; 3 = not surveyed b/c not in population
24,BCPUBLICSERVICE13,BCPUBLICSERVICE,2013,,Exclude,Survey Info,,,BC Public Service 2013 (population who were in BC Public Service in 2013 = 1; FRINGE = NOT in BCPS (2); not surveyed = 3) [desc updated for accuracy]
25,COMPLETED13,COMPLETED,2013,,Exclude,Survey Info,,,Completed Survey 2013 (population who completed the 2013 WES=1 both fringe and core; NOT complete butsurveyed = 2; not surveyed = 3) [desc updated for accuracy]
26,OVERALLSCOPE13,OVERALLSCOPE,2013,,Exclude,Survey Info,,,Overall Scope 2013 (population of 2013 respondents who completed the survey and were in the BC Public Service = 1; 3 = not sureyed OR fringe whether completed or not) [desc updated for accuracy]
27,POPULATION15,POPULATION,2015,,Exclude,Survey Info,,,Population 2015 (overall population of 2015) 1 = in core or fringe in 2015; 3 = not surveyed in 2015
28,BCPUBLICSERVICE15,BCPUBLICSERVICE,2015,,Exclude,Survey Info,,,BC Public Service 2015 (1 = in BC Public Service in 2015; 2 = FRINGE in 2015 ; 3 = not surveyed in 2015)
29,COMPLETED15,COMPLETED,2015,,Exclude,Survey Info,,,Completed Survey 2015 (1 = completed survey in 2015 both fringe and core; 2 = NOT complete but surveyed in 2015; 3 =  not surveyed in 2015)
30,OVERALLSCOPE15,OVERALLSCOPE,2015,,Exclude,Survey Info,,,Overall Scope 2015 (1 = completed survey and were in the BC Public Service in 2015; 0 = not surveyed in 2015 OR 2015 fringe whether completed or not)
31,POPULATION18,POPULATION,2018,,Exclude,Survey Info,,,Population 2018 (overall population of 2018) 1 = in core or fringe in 2018; 3 = not surveyed in 2018
32,BCPUBLICSERVICE18,BCPUBLICSERVICE,2018,,Exclude,Survey Info,,,BC Public Service 2018 (1 = in BC Public Service in 2018; 2 = FRINGE in 2018 ; 3 = not surveyed in 2018)
33,COMPLETED18,COMPLETED,2018,,Exclude,Survey Info,,,Completed Survey 2018 (1 = completed survey in 2018 both fringe and core; 2 = NOT complete but surveyed in 2018; 3 =  not surveyed in 2018)
34,OVERALLSCOPE18,OVERALLSCOPE,2018,,Exclude,Survey Info,,,Overall Scope 2018 (1 = completed survey and were in the BC Public Service in 2018; 0 = not surveyed in 2018 OR 2018 fringe whether completed or not)
35,AGE07,AGE,2007,,Sensitive Info,Employee Info,,,Age 2007
36,AGEGRP07,AGEGRP,2007,,BC Stats Background,Employee Info,,,Age Group 2007 (Calculated from AGE07)
37,APPTSTAT07,APPTSTAT,2007,,Exclude,Employee Info,,,Appointment Status 2007
38,CITYGRP07,CITYGRP,2007,,BC Stats Background,Employee Info,,,City Group 2007 (Calculated from WORKCITY07)
39,CITYGRP07_REC1,CITYGRP_REC1,2007,,Exclude,Employee Info,,,City Group 2007 RECODE (Calculated from CITYGRP07 - groups Other and Vancouver together)
40,CLASSCODE07,CLASSCODE,2007,,BC Stats Background,Employee Info,,,Class Code 2007 (Actually Job Code - linked to CLASSDESC07 and CLASSTITLE07)
41,CLASSTITLE07,CLASSTITLE,2007,,BC Stats Background,Employee Info,,,Class Title 2007 (text aggregation of CLASSCODE07)
42,CURPOSDESC07,CURPOSDESC,2007,,Sensitive Info,Employee Info,,,Current Position Description 2007 (similar to BUSTITLE07)
43,DEPTDESC07,DEPTDESC,2007,,Sensitive Info,Employee Info,,,Department Description 2007 (linked to DEPTID07)
44,DEPTID07,DEPTID,2007,,Sensitive Info,Employee Info,,,Department ID 2007 (linked to DEPTDESC07)
45,GENDER07,GENDER,2007,,BC Stats Background,Employee Info,,,Gender 2007
46,LEVEL107,LEVEL1_NAME,2007,,BC Stats Background,Employee Info,,,Division
47,LEVEL207,LEVEL2_NAME,2007,,BC Stats Background,Employee Info,,,Branch
48,LEVEL307,LEVEL3_NAME,2007,,Sensitive Info,Employee Info,,,Sub-branch
49,ORGANIZATION07,ORGANIZATION,2007,,BC Stats Background,Employee Info,,,Organization 2007
50,PSAREGION07,PSAREGION,2007,,BC Stats Background,Employee Info,,,PSA Region 2007 (Calculated from WORKCITY07)
51,REGHOURS07,REGHOURS,2007,,BC Stats Background,Employee Info,,,Weekly Salaried Hours 2007 (for employees that work a pre-determined salaried work schedule - those who don't show a value of 1.88)
52,SRVCDT07,SRVCDT,2007,,Sensitive Info,Employee Info,,,Service Date 2007 (first date in current benefit program)
53,SRVCYRS07,SRVCYRS,2007,,BC Stats Background,Employee Info,,,Service Years 2007 (Calculated from SRVCDT07)
54,SRVCYRSGRP07,SRVCYRSGRP,2007,,BC Stats Background,Employee Info,,,Service Year Group 2007 (Calculated from SRVCYRS07)
55,UNIONSTATUS07,UNIONSTATUS,2007,,BC Stats Background,Employee Info,,,Union Status 2007 (formerly GROUPS07)
56,WESJOBCLASGRP07,WESJOBCLASGRP,2007,,BC Stats Background,Employee Info,,,WES Job Class Group 2007
57,day1_107,Q01,2007,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"day1_1 2007: [RESPECTFUL ENVIRONMENT B] A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
195,day1_108,Q01,2008,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"day1_1 2008: [RESPECTFUL ENVIRONMENT B] A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
338,day1_109,Q01,2009,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"day1_1 2009: [RESPECTFUL ENVIRONMENT B] A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
503,day1_110,Q01,2010,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"day1_1 2010: [RESPECTFUL ENVIRONMENT R] A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
61,day1_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day1_5 2007: [NON-MODEL] I have adequate opportunities to candidly express ideas.
676,day1_111,Q01,2011,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"day1_1 2011: [RESPECTFUL ENVIRONMENT B] A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
864,Q5074_04_13,Q01,2013,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
1010,Q5074_04_15,Q01,2015,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,"A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
65,day2_407,NA,2007,Q5143_15,Exclude,Outdated Survey Question/Calc,,,day2_4 2007: [NON-MODEL] My workplace procedures allow me to be as productive as possible.
66,day2_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day2_5 2007: [NON-MODEL] Appropriate accountability practices are in place in my work unit
1162,Q5074_04_18,Q01,2018,Q5074_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,34,"A healthy atmosphere (e.g., trust, mutual respect) exists in my work unit."
59,day1_307,Q02,2007,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_3 2007: [RESPECTFUL ENVIRONMENT B] My work unit values diversity.
196,day1_208,Q02,2008,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_2 2008: [RESPECTFUL ENVIRONMENT B] My work unit values diversity.
339,day1_209,Q02,2009,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_2 2009: [RESPECTFUL ENVIRONMENT B] My work unit values diversity.
504,day1_210,Q02,2010,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_2 2010: [RESPECTFUL ENVIRONMENT R] My work unit values diversity.
677,day1_211,Q02,2011,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_2 2011: [RESPECTFUL ENVIRONMENT B] My work unit values diversity.
865,Q8641_13_13,Q02,2013,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,My work unit values diversity in people and backgrounds.
74,day4_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day4_1 2007: [NON-MODEL] My work unit gets useful feedback on its level of performance.
75,day4_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day4_2 2007: [NON-MODEL] My work unit strives to improve the quality of its work.
76,day4_307,NA,2007,Q5335_06,Exclude,Outdated Survey Question/Calc,,,day4_3 2007: [EMPOWERMENT B] I am encouraged to be innovative in my work.
77,day4_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day4_4 2007: [NON-MODEL] My work is interesting.
1011,Q8641_13_15,Q02,2015,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,My work unit values diversity in people and backgrounds.
1163,Q8641_13_18,Q02,2018,Q8641_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,35,My work unit values diversity in people and backgrounds.
80,day4_707,NA,2007,Q8072_04,Exclude,Outdated Survey Question/Calc,,,day4_7 2007: [NON-MODEL] I am proud of the work I do.
866,Q5704_13_13,Q03,2013,Q5704_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,My work unit values diversity in ideas.
1012,Q5704_13_15,Q03,2015,Q5704_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,My work unit values diversity in ideas.
1164,Q5704_13_18,Q03,2018,Q5704_13,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,35,My work unit values diversity in ideas.
84,day5_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day5_4 2007: [NON-MODEL] I feel anxiety as a result of the stress I experience at work.
85,day5_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,day5_5 2007: [NON-MODEL] I feel stimulated as a result of the challenges I experience at work.
60,day1_407,Q04,2007,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_4 2007: [RESPECTFUL ENVIRONMENT B] My work unit is free from discrimination and harassment.
197,day1_308,Q04,2008,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_3 2008: [RESPECTFUL ENVIRONMENT B] My work unit is free from discrimination and harassment.
340,day1_309,Q04,2009,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_3 2009: [RESPECTFUL ENVIRONMENT B] My work unit is free from discrimination and harassment.
89,phy1_207,NA,2007,Q3894_04,Exclude,Outdated Survey Question/Calc,,,phy1_2 2007: [NON-MODEL] The physical security of my workplace is satisfactory.
90,phy1_307,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"phy1_3 2007: [PHYSICAL ENVIRONMENT & TOOLS B] I have the tools (i.e., technology, equipment, etc.) I need to do my job well."
91,phy1_407,NA,2007,Q4725_06,Exclude,Outdated Survey Question/Calc,,,phy1_4 2007: [NON-MODEL] I have the information I need to do my job well.
505,day1_310,Q04,2010,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_3 2010: [RESPECTFUL ENVIRONMENT R] My work unit is free from discrimination and harassment.
678,day1_311,Q04,2011,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,day1_3 2011: [RESPECTFUL ENVIRONMENT B] My work unit is free from discrimination and harassment.
867,Q8511_04_13,Q04,2013,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,My work unit is free from discrimination and harassment.
1013,Q8511_04_15,Q04,2015,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,,My work unit is free from discrimination and harassment.
96,perf207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,perf2 2007: [NON-MODEL] A) Have you had a performance review in the last 12 months? A performance review may be a formal appraisal and/or an informal conversation with your supervisor about your performance.
97,perf3_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,perf3_1 2007: [NON-MODEL] B) (If yes): My performance review helps me achieve my performance goals.
98,cow1_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,cow1_1 2007: [NON-MODEL] Teamwork is encouraged and supported in my work unit.
1165,Q8511_04_18,Q04,2018,Q8511_04,Raw Survey Question,My Day-to-Day Work,Respectful_Environment,32,My work unit is free from discrimination and harassment.
100,cow1_307,NA,2007,Q6887_04,Exclude,Outdated Survey Question/Calc,,,cow1_3 2007: [NON-MODEL] My ideas are respected by others in my work unit.
1014,Q3792_15_15,Q05,2015,Q3792_15,Raw Survey Question,My Day-to-Day Work,,,Employees in my work unit are clear on the ethical values expected in performing their work.
1166,Q3792_15_18,Q05,2018,Q3792_15,Raw Survey Question,My Day-to-Day Work,,,Employees in my work unit are clear on the ethical values expected in performing their work.
103,pers1_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,pers1_1 2007: [NON-MODEL] The person I report to communicates effectively with staff.
104,pers1_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,pers1_2 2007: [NON-MODEL] The person I report to listens to my suggestions and ideas for improvement.
1015,Q2397_15_15,Q06,2015,Q2397_15,Raw Survey Question,My Day-to-Day Work,,,"If I am faced with an ethical question or concern, I know where I can go for help in resolving the situation."
1167,Q2397_15_18,Q06,2018,Q2397_15,Raw Survey Question,My Day-to-Day Work,,,"If I am faced with an ethical question or concern, I know where I can go for help in resolving the situation."
63,day2_207,Q07,2007,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day2_2 2007: [EMPOWERMENT B] I have opportunities to provide input into decisions that affect my work.
108,pers2_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,pers2_1 2007: [NON-MODEL] The person I report to is open to flexible work arrangements to accommodate personal needs.
109,pers2_207,NA,2007,Q2785_04,Exclude,Outdated Survey Question/Calc,,,pers2_2 2007: [NON-MODEL] The person I report to is an effective manager.
110,pers2_307,NA,2007,,Exclude,Outdated Survey Question/Calc,,,pers2_3 2007: [NON-MODEL] The person I report to is an effective leader.
199,day1_508,Q07,2008,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_5 2008: [EMPOWERMENT B] I have opportunities to provide input into decisions that affect my work.
342,day1_509,Q07,2009,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_5 2009: [EMPOWERMENT B] I have opportunities to provide input into decisions that affect my work.
113,pers2_607,NA,2007,,Exclude,Outdated Survey Question/Calc,,,pers2_6 2007: [NON-MODEL] I have a positive working relationship with the person I report to.
114,exe1_107,NA,2007,Q7855_08,Exclude,Outdated Survey Question/Calc,,,exe1_1 2007: [EXECUTIVE LEVEL B] Executives in my Ministry/organization make effective and timely decisions.
506,day1_410,Q07,2010,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_4 2010: [EMPOWERMENT R] I have opportunities to provide input into decisions that affect my work.
116,exe1_307,NA,2007,,Exclude,Outdated Survey Question/Calc,,,exe1_3 2007: [EXECUTIVE LEVEL B] Executives in my Ministry/organization provide clear direction for the future.
679,day1_411,Q07,2011,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_4 2011: [EMPOWERMENT B] I have opportunities to provide input into decisions that affect my work.
868,Q8520_06_13,Q07,2013,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,I have opportunities to provide input into decisions that affect my work.
1016,Q8520_06_15,Q07,2015,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,I have opportunities to provide input into decisions that affect my work.
120,org1_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,org1_4 2007: [NON-MODEL] Essential information flows efficiently from staff to senior leadership.
1168,Q8520_06_18,Q07,2018,Q8520_06,Raw Survey Question,My Day-to-Day Work,Empowerment,72,I have opportunities to provide input into decisions that affect my work.
64,day2_307,Q08,2007,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day2_3 2007: [EMPOWERMENT B] I have the freedom to make the decisions necessary to do my job well.
123,org2_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,org2_2 2007: [NON-MODEL] I am appreciated for the contribution I make to my Ministry/organization.
200,day1_608,Q08,2008,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_6 2008: [EMPOWERMENT B] I have the freedom to make the decisions necessary to do my job well.
125,org2_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,org2_4 2007: [NON-MODEL] I strive to improve my ministry’s/organization's results.
126,emp1_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp1_1 2007: [NON-MODEL] I am proud to work for my Ministry/organization.
343,day1_609,Q08,2009,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_6 2009: [EMPOWERMENT B] I have the freedom to make the decisions necessary to do my job well.
507,day1_510,Q08,2010,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_5 2010: [EMPOWERMENT R] I have the freedom to make the decisions necessary to do my job well.
680,day1_511,Q08,2011,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,day1_5 2011: [EMPOWERMENT B] I have the freedom to make the decisions necessary to do my job well.
130,emp1_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"emp1_5 2007: [NON-MODEL] Based on my experience working at this Ministry/organization, I would recommend it as a place to work."
869,Q8385_06_13,Q08,2013,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,I have the freedom to make the decisions necessary to do my job well.
1017,Q8385_06_15,Q08,2015,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,,I have the freedom to make the decisions necessary to do my job well.
133,emp2_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp2_2 2007: [ORGANIZATION SATISFACTION B] I am satisfied with my ministry/organization.
1169,Q8385_06_18,Q08,2018,Q8385_06,Raw Survey Question,My Day-to-Day Work,Empowerment,71,I have the freedom to make the decisions necessary to do my job well.
135,emp3_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"emp3_1 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Recently changed job (e.g; promotion, transfer)"
136,emp3_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_2 2007: Have you experienced any of the following in the past 12 months? (Yes/No):  A change in your duties or responsibilities in your existing job.
137,emp3_307,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_3 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Change in supervisor or manager.
138,emp3_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_4 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Introduction of new employees in your work unit.
139,emp3_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_5 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Reduction in the number of employees in your work unit.
140,emp3_607,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_6 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Organizational restructuring in your workplace (such as merging or separating units or changing number of levels in the office).
141,emp3_707,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_7 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Change in organization executive
142,emp3_807,NA,2007,,Exclude,Outdated Survey Question/Calc,,,emp3_8 2007: Have you experienced any of the following in the past 12 months? (Yes/No): Budget reductions in your department.
143,Engagement_07,Engagement,2007,,Calculated from Raw,Engagement Model,,,"Engagement 2007 (Calculated from Commitment_07, Job_Satisfaction_07, Org_Satisfaction_07)"
144,Commitment_07,Commitment,2007,,Calculated from Raw,Engagement Model,Engagement,,"BC Public Service Commitment 2007 (Calculated from emp1_407, emp2_307)"
145,Job_Satisfaction_07,Job_Satisfaction,2007,,Calculated from Raw,Engagement Model,Engagement,,Job Satisfaction 2007 (Calculated from emp2_107)
146,Org_Satisfaction_07,Org_Satisfaction,2007,,Calculated from Raw,Engagement Model,Engagement,,Organization Satisfaction 2007 (Calculated from emp2_207)
147,Empowerment_07,Empowerment,2007,,Calculated from Raw,Engagement Model,,,"Empowerment 2007 (Calculated from day2_207, day2_307, day4_307)"
148,Stress_and_Workload_07,Stress_Workload,2007,,Calculated from Raw,Engagement Model,,,"Stress & Workload 2007 (Calculated from day5_207, day5_307)"
149,Vision_Mission_Goals_07,Vision_Mission_Goals,2007,,Calculated from Raw,Engagement Model,,,"Vision, Mission & Goals 2007 ( Calculated from org1_107, org1_207)"
150,Teamwork_07,Teamwork,2007,,Calculated from Raw,Engagement Model,,,"Teamwork 2007 (Calculated from cow1_207, cow1_407, cow1_507)"
151,Physical_Environment_Tools_07,Tools_Workspace,2007,,Calculated from Raw,Engagement Model,,,"Physical Environment & Tools 2007 (Calculated from phy1_107, phy1_307)"
152,Recognition_07,Recognition,2007,,Calculated from Raw,Engagement Model,,,"Recognition 2007 (Calculated from day3_207, day3_307)"
153,Professional_Development_07,Professional_Development,2007,,Calculated from Raw,Engagement Model,,,"Professional Development 2007 (Calculated from perf1_107, perf1_207, perf1_307)"
154,Pay_Benefits_07,Pay_Benefits,2007,,Calculated from Raw,Engagement Model,,,"Pay & Benefits 2007 (Calculated from day3_407, day3_507)"
155,Staffing_Practices_07,Staffing_Practices,2007,,Calculated from Raw,Engagement Model,,,"Staffing Practices 2007 (Calculated from day3_607, day3_707)"
156,Respectful_Environment_07,Respectful_Environment,2007,,Calculated from Raw,Engagement Model,,,"Respectful Environment 2007 (Calculated from day1_107, day1_307, day1_407)"
157,Executive_Level_07,Executive_Level,2007,,Calculated from Raw,Engagement Model,,,"Executive Level 2007 (Calculated from exe1_107, exe1_307)"
158,Supervisory_Level_07,Supervisory_Level,2007,,Calculated from Raw,Engagement Model,,,"Supervisory Level 2007 (Calculated from pers1_407, pers1_507)"
159,sbc1a07,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"sbc1a07: Based on the definition above, do you deliver services directly to the public?"
160,sbc1b07,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"sbc1b07: Based on the definition above, do you supervise staff who deliver services directly to the public?"
161,sbc207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"sbc207: How much of your time is spent providing information or services directly to citizens or businesses (by phone, by email, through personal contact in government offices, through personal contact off-site)?"
162,sbc3_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc3_107: My work environment enables me to deliver service in timely way.
163,sbc3_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"sbc3_207: My work environment enables me to deliver service fairly, regardless of age, gender, ethnicity, etc."
164,sbc3_307,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc3_307: I have been provided with the appropriate knowledge and skills to deliver service.
165,sbc3_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc3_407: My work environment enables me to provide courteous service.
166,sbc3_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc3_507: My work environment enables me to go the extra mile when providing service.
167,sbc4_107,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc4_107: Our work environment enables my staff to deliver service in timely way.
168,sbc4_207,NA,2007,,Exclude,Outdated Survey Question/Calc,,,"sbc4_207: Our work environment enables my staff to deliver service fairly, regardless of age, gender, ethnicity, etc."
169,sbc4_307,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc4_307: My staff have been provided with the appropriate knowledge and skills to deliver service.
170,sbc4_407,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc4_407: Our work environment enables my staff to provide courteous service.
171,sbc4_507,NA,2007,,Exclude,Outdated Survey Question/Calc,,,sbc4_507: Our work environment enables my staff to go the extra mile when providing service.
172,AGE08,AGE,2008,,Sensitive Info,Employee Info,,,Age 2008
173,AGEGRP08,AGEGRP,2008,,BC Stats Background,Employee Info,,,Age Group 2008 (Calculated from AGE08)
174,APPTSTAT08,APPTSTAT,2008,,Exclude,Employee Info,,,Appointment Status 2008
175,CITYGRP08,CITYGRP,2008,,BC Stats Background,Employee Info,,,City Group 2008 (Calculated from WORKCITY08)
176,CITYGRP08_REC1,CITYGRP_REC1,2008,,Exclude,Employee Info,,,City Group 2008 RECODE (Calculated from CITYGRP08 - groups Other and Vancouver together)
177,CLASSCODE08,CLASSCODE,2008,,BC Stats Background,Employee Info,,,Class Code 2008 (Actually Job Code - linked to CLASSDESC08 and CLASSTITLE08)
178,CLASSTITLE08,CLASSTITLE,2008,,BC Stats Background,Employee Info,,,Class Title 2008 (text aggregation of CLASSCODE08)
179,CURPOSDESC08,CURPOSDESC,2008,,Sensitive Info,Employee Info,,,Current Position Description 2008 (similar to BUSTITLE08)
180,DEPTDESC08,DEPTDESC,2008,,Sensitive Info,Employee Info,,,Department Description 2008 (linked to DEPTID08)
181,DEPTID08,DEPTID,2008,,Sensitive Info,Employee Info,,,Department ID 2008 (linked to DEPTDESC08)
182,GENDER08,GENDER,2008,,BC Stats Background,Employee Info,,,Gender 2008
183,LEVEL108,LEVEL1_NAME,2008,,BC Stats Background,Employee Info,,,Division
184,LEVEL208,LEVEL2_NAME,2008,,BC Stats Background,Employee Info,,,Branch
